id;name
1;yippee syringe and
2;though handy cutover
3;inasmuch flat baseboard
4;oh wrongly
5;clone instantly
6;though beneath with
7;ready acquaintance
8;aw pish yuck
9;tapioca babyish goodwill
10;furthermore wisecrack debit
11;obesity loaf
12;croon
13;hm
14;smoothly
15;aw idolized
16;thoroughly
17;ha instead mid
18;round
19;apud
20;chow any frenetically
21;how
22;equally ack
23;fixed yet fervently
24;off verve judgementally
25;garrote who bourgeoisie
26;gray
27;scheme
28;hastily secrecy sophisticated
29;unbearably clear-cut
30;careless hopelessly
